"","Jahr","Stadt","1","2","3","4"
"536",2020,"Bochum",114365,27828,72195,52696
"537",2021,"Bochum",25158,43607,88111,120137
"538",2022,"Bochum",91161,149841,168498,166553
"539",2023,"Bochum",147664,180388,179195,178039
"540",2024,"Bochum",165878,210805,NA,NA
"541",1998,"Bielefeld",99725,108943,99479,105061
"542",1999,"Bielefeld",108291,120230,109106,113557
"543",2000,"Bielefeld",127686,125826,131682,118975
"544",2001,"Bielefeld",118177,131579,131487,129894
"545",2002,"Bielefeld",113249,118068,117982,110828
"546",2003,"Bielefeld",110062,113187,113571,117147
"547",2004,"Bielefeld",115774,119741,118624,121870
"548",2005,"Bielefeld",113899,131062,123853,119110
"549",2006,"Bielefeld",118240,132114,125591,122653
"550",2007,"Bielefeld",119575,127349,126321,126492
"551",2008,"Bielefeld",119356,130873,132297,121661
"552",2009,"Bielefeld",112528,125221,131728,118390
"553",2010,"Bielefeld",111205,128336,128894,123625
"554",2011,"Bielefeld",120626,129263,135328,130201
"555",2012,"Bielefeld",124409,135447,141968,134737
"556",2013,"Bielefeld",128285,145106,147389,145387
"557",2014,"Bielefeld",128844,145075,146142,142028
"558",2015,"Bielefeld",128830,154763,145795,143769
"559",2016,"Bielefeld",129075,162976,163764,164171
"560",2017,"Bielefeld",163528,184945,186883,169889
"561",2018,"Bielefeld",149765,177902,181667,170569
"562",2019,"Bielefeld",153170,180743,186562,173683
"563",2020,"Bielefeld",122768,39217,99830,56784
"564",2021,"Bielefeld",36063,49530,135414,128807
"565",2022,"Bielefeld",96778,163326,173065,149660
"566",2023,"Bielefeld",127472,161722,171506,149286
"567",2024,"Bielefeld",132278,166973,NA,NA
"568",1998,"Berlin",1620244,2363354,2411919,1971508
"569",1999,"Berlin",1712355,2527434,2783944,2569284
"570",2000,"Berlin",2144452,3317480,3318171,2765459
"571",2001,"Berlin",2221531,3328670,3326242,2595972
"572",2002,"Berlin",2166353,3180268,3178001,2609961
"573",2003,"Berlin",2058453,3256713,3282171,2828053
"574",2004,"Berlin",2369140,3705195,3971076,3214982
"575",2005,"Berlin",2779063,3918540,4354577,3568135
"576",2006,"Berlin",2949531,4286581,4714420,3962113
"577",2007,"Berlin",3354160,4703753,5038952,4189108
"578",2008,"Berlin",3466896,4741360,5216907,4345114
"579",2009,"Berlin",3429001,4975646,5715682,4751645
"580",2010,"Berlin",4019899,5580780,6170862,5024102
"581",2011,"Berlin",4073731,6144730,6609072,5529585
"582",2012,"Berlin",4673672,6666962,7431290,6124277
"583",2013,"Berlin",5244602,7139001,7969882,6588597
"584",2014,"Berlin",5409926,7761038,8388557,7129162
"585",2015,"Berlin",5861052,7953828,8963586,7471600
"586",2016,"Berlin",6335025,8086881,8903378,7742491
"587",2017,"Berlin",6311436,8367690,8975984,7494980
"588",2018,"Berlin",6710448,8589425,9483772,8087989
"589",2019,"Berlin",7037757,9067561,9651204,8367842
"590",2020,"Berlin",5419479,1100419,4205140,1553422
"591",2021,"Berlin",957194,1581072,5980161,5441693
"592",2022,"Berlin",3531889,7611790,8398717,6983973
"593",2023,"Berlin",5797809,8020614,8548095,7222925
"594",2024,"Berlin",6262124,8097657,NA,NA
"595",1998,"Amsterdam",1430000,1934200,2097900,1655600
"596",1999,"Amsterdam",1591100,2003600,2166200,1678800
"597",2000,"Amsterdam",1573600,1990400,2202800,1767600
"598",2001,"Amsterdam",1608800,2092300,2119600,1716700
"599",2002,"Amsterdam",1673000,2024700,2095900,1662200
"600",2003,"Amsterdam",1452700,1884700,1981700,1695400
"601",2004,"Amsterdam",1538400,2039100,2200500,1844400
"602",2005,"Amsterdam",1683500,2100100,2308500,1894800
"603",2006,"Amsterdam",1717200,2318000,2476800,2075400
"604",2007,"Amsterdam",1904900,2362100,2494600,2082900
"605",2008,"Amsterdam",1883700,2265800,2325800,1834400
"606",2009,"Amsterdam",1706000,2299200,2530900,2025200
"607",2010,"Amsterdam",1934600,2561200,2912100,2316700
"608",2011,"Amsterdam",1908200,2666700,2836800,2317050
"609",2012,"Amsterdam",2060000,2937000,3101000,2466000
"610",2013,"Amsterdam",2252000,3067000,3274000,2669000
"611",2014,"Amsterdam",2538000,3372000,3595000,3031000
"612",2015,"Amsterdam",2707000,3460000,3659000,3072000
"613",2016,"Amsterdam",3137000,3670000,3855000,3321000
"614",2017,"Amsterdam",3413000,4276000,4362000,3806000
"615",2018,"Amsterdam",3679000,4359000,4631000,4005000
"616",2019,"Amsterdam",4089000,4884000,5021000,4382000
"617",2020,"Amsterdam",3017000,337000,1881000,567000
"618",2021,"Amsterdam",378000,718000,2331000,2346000
"619",2022,"Amsterdam",1919000,4807000,5318000,4729000
"620",2023,"Amsterdam",4304000,5532000,5642000,4908000
"621",2024,"Amsterdam",4580000,5562000,NA,NA
