"","Jahr","Quarter","Stadt","total"
"768",2023,1,"Kopenhagen",1615440
"769",2024,1,"Kopenhagen",1734584
"770",1998,2,"Kopenhagen",752396
"771",1999,2,"Kopenhagen",814603
"772",2000,2,"Kopenhagen",888407
"773",2001,2,"Kopenhagen",923408
"774",2002,2,"Kopenhagen",926455
"775",2003,2,"Kopenhagen",889984
"776",2004,2,"Kopenhagen",1046696
"777",2005,2,"Kopenhagen",1112709
"778",2006,2,"Kopenhagen",1113029
"779",2007,2,"Kopenhagen",1154986
"780",2008,2,"Kopenhagen",1201882
"781",2009,2,"Kopenhagen",1054001
"782",2010,2,"Kopenhagen",1216292
"783",2011,2,"Kopenhagen",1430329
"784",2012,2,"Kopenhagen",1600239
"785",2013,2,"Kopenhagen",1647318
"786",2014,2,"Kopenhagen",1721255
"787",2015,2,"Kopenhagen",1801891
"788",2016,2,"Kopenhagen",1811648
"789",2017,2,"Kopenhagen",1857917
"790",2018,2,"Kopenhagen",1951177
"791",2019,2,"Kopenhagen",2134320
"792",2020,2,"Kopenhagen",215965
"793",2021,2,"Kopenhagen",564648
"794",2022,2,"Kopenhagen",2373483
"795",2023,2,"Kopenhagen",2583658
"796",2024,2,"Kopenhagen",2741904
"797",1998,3,"Kopenhagen",1007657
"798",1999,3,"Kopenhagen",1011506
"799",2000,3,"Kopenhagen",1127821
"800",2001,3,"Kopenhagen",1146302
"801",2002,3,"Kopenhagen",1152381
"802",2003,3,"Kopenhagen",1195876
"803",2004,3,"Kopenhagen",1324229
"804",2005,3,"Kopenhagen",1374175
"805",2006,3,"Kopenhagen",1408743
"806",2007,3,"Kopenhagen",1441178
"807",2008,3,"Kopenhagen",1395956
"808",2009,3,"Kopenhagen",1396988
"809",2010,3,"Kopenhagen",1642440
"810",2011,3,"Kopenhagen",1829419
"811",2012,3,"Kopenhagen",1878875
"812",2013,3,"Kopenhagen",1999385
"813",2014,3,"Kopenhagen",2050175
"814",2015,3,"Kopenhagen",2174053
"815",2016,3,"Kopenhagen",2204781
"816",2017,3,"Kopenhagen",2144291
"817",2018,3,"Kopenhagen",2328518
"818",2019,3,"Kopenhagen",2561439
"819",2020,3,"Kopenhagen",920692
"820",2021,3,"Kopenhagen",1692533
"821",2022,3,"Kopenhagen",2949201
"822",2023,3,"Kopenhagen",3120643
"823",1998,4,"Kopenhagen",668489
"824",1999,4,"Kopenhagen",672783
"825",2000,4,"Kopenhagen",775660
"826",2001,4,"Kopenhagen",734759
"827",2002,4,"Kopenhagen",813924
"828",2003,4,"Kopenhagen",839221
"829",2004,4,"Kopenhagen",910741
"830",2005,4,"Kopenhagen",983419
"831",2006,4,"Kopenhagen",1033797
"832",2007,4,"Kopenhagen",1059817
"833",2008,4,"Kopenhagen",951616
"834",2009,4,"Kopenhagen",1049453
"835",2010,4,"Kopenhagen",1168897
"836",2011,4,"Kopenhagen",1224654
"837",2012,4,"Kopenhagen",1306920
"838",2013,4,"Kopenhagen",1413558
"839",2014,4,"Kopenhagen",1474141
"840",2015,4,"Kopenhagen",1602579
"841",2016,4,"Kopenhagen",1647016
"842",2017,4,"Kopenhagen",1624627
"843",2018,4,"Kopenhagen",1801028
"844",2019,4,"Kopenhagen",1933102
"845",2020,4,"Kopenhagen",498728
"846",2021,4,"Kopenhagen",1714063
"847",2022,4,"Kopenhagen",2153991
"848",2023,4,"Kopenhagen",2242565
"849",1998,1,"Köln",678149
"850",1999,1,"Köln",754279
"851",2000,1,"Köln",750429
"852",2001,1,"Köln",775535
"853",2002,1,"Köln",835627
"854",2003,1,"Köln",801704
"855",2004,1,"Köln",881389
"856",2005,1,"Köln",945764
"857",2006,1,"Köln",1000314
"858",2007,1,"Köln",1068190
"859",2008,1,"Köln",1028108
"860",2009,1,"Köln",981444
"861",2010,1,"Köln",989904
"862",2011,1,"Köln",1118124
"863",2012,1,"Köln",1180571
"864",2013,1,"Köln",1169960
"865",2014,1,"Köln",1227111
"866",2015,1,"Köln",1361353
"867",2016,1,"Köln",1288683
"868",2017,1,"Köln",1444383
"869",2018,1,"Köln",1440613
"870",2019,1,"Köln",1513234
"871",2020,1,"Köln",1142384
"872",2021,1,"Köln",202617
"873",2022,1,"Köln",799741
"874",2023,1,"Köln",1379368
"875",2024,1,"Köln",1525150
"876",1998,2,"Köln",652221
"877",1999,2,"Köln",714927
"878",2000,2,"Köln",768493
"879",2001,2,"Köln",749158
"880",2002,2,"Köln",740899
"881",2003,2,"Köln",817265
"882",2004,2,"Köln",903222
"883",2005,2,"Köln",1075018
"884",2006,2,"Köln",1121503
"885",2007,2,"Köln",1089293
"886",2008,2,"Köln",1106589
"887",2009,2,"Köln",981880
"888",2010,2,"Köln",1029749
"889",2011,2,"Köln",1230542
"890",2012,2,"Köln",1262975
"891",2013,2,"Köln",1237134
"892",2014,2,"Köln",1433073
"893",2015,2,"Köln",1510587
"894",2016,2,"Köln",1409130
"895",2017,2,"Köln",1602496
"896",2018,2,"Köln",1558036
"897",2019,2,"Köln",1628982
"898",2020,2,"Köln",242717
"899",2021,2,"Köln",329662
"900",2022,2,"Köln",1571163
"901",2023,2,"Köln",1766278
"902",2024,2,"Köln",1871308
"903",1998,3,"Köln",764413
"904",1999,3,"Köln",743696
"905",2000,3,"Köln",816987
"906",2001,3,"Köln",872884
"907",2002,3,"Köln",874832
"908",2003,3,"Köln",873032
"909",2004,3,"Köln",1001423
"910",2005,3,"Köln",1086583
"911",2006,3,"Köln",1115885
"912",2007,3,"Köln",1142149
"913",2008,3,"Köln",1092465
"914",2009,3,"Köln",1060745
"915",2010,3,"Köln",1257278
"916",2011,3,"Köln",1299180
"917",2012,3,"Köln",1350644
"918",2013,3,"Köln",1340381
"919",2014,3,"Köln",1560251
"920",2015,3,"Köln",1574382
"921",2016,3,"Köln",1520940
"922",2017,3,"Köln",1594300
"923",2018,3,"Köln",1669316
"924",2019,3,"Köln",1678377
"925",2020,3,"Köln",829446
"926",2021,3,"Köln",1045114
"927",2022,3,"Köln",1647372
"928",2023,3,"Köln",1705091
"929",1998,4,"Köln",714582
"930",1999,4,"Köln",746100
"931",2000,4,"Köln",729702
"932",2001,4,"Köln",860341
"933",2002,4,"Köln",850853
"934",2003,4,"Köln",935349
"935",2004,4,"Köln",1064050
"936",2005,4,"Köln",1104214
"937",2006,4,"Köln",1144726
"938",2007,4,"Köln",1180579
"939",2008,4,"Köln",1081539
"940",2009,4,"Köln",1109175
"941",2010,4,"Köln",1297518
"942",2011,4,"Köln",1322210
"943",2012,4,"Köln",1288437
"944",2013,4,"Köln",1329717
"945",2014,4,"Köln",1516541
"946",2015,4,"Köln",1538559
"947",2016,4,"Köln",1556137
"948",2017,4,"Köln",1602162
"949",2018,4,"Köln",1619712
"950",2019,4,"Köln",1758526
"951",2020,4,"Köln",342665
"952",2021,4,"Köln",1186557
"953",2022,4,"Köln",1593208
"954",2023,4,"Köln",1717175
"955",1998,1,"Helsinki",422977
"956",1999,1,"Helsinki",452179
"957",2000,1,"Helsinki",484559
"958",2001,1,"Helsinki",508903
"959",2002,1,"Helsinki",473743
"960",2003,1,"Helsinki",443801
"961",2004,1,"Helsinki",455413
"962",2005,1,"Helsinki",452755
"963",2006,1,"Helsinki",497975
"964",2007,1,"Helsinki",548895
"965",2008,1,"Helsinki",608944
"966",2009,1,"Helsinki",539997
"967",2010,1,"Helsinki",599523
"968",2011,1,"Helsinki",638716
"969",2012,1,"Helsinki",669182
"970",2013,1,"Helsinki",635313
"971",2014,1,"Helsinki",633115
"972",2015,1,"Helsinki",633064
"973",2016,1,"Helsinki",681095
"974",2017,1,"Helsinki",797394
"975",2018,1,"Helsinki",807593
"976",2019,1,"Helsinki",821987
"977",2020,1,"Helsinki",695158
"978",2021,1,"Helsinki",180795
"979",2022,1,"Helsinki",428534
"980",2023,1,"Helsinki",761257
"981",2024,1,"Helsinki",814853
"982",1998,2,"Helsinki",538704
"983",1999,2,"Helsinki",542547
"984",2000,2,"Helsinki",614261
"985",2001,2,"Helsinki",607835
"986",2002,2,"Helsinki",608349
"987",2003,2,"Helsinki",598247
"988",2004,2,"Helsinki",581857
"989",2005,2,"Helsinki",609112
"990",2006,2,"Helsinki",633653
"991",2007,2,"Helsinki",691824
"992",2008,2,"Helsinki",741226
"993",2009,2,"Helsinki",692104
"994",2010,2,"Helsinki",717928
"995",2011,2,"Helsinki",797753
"996",2012,2,"Helsinki",814889
"997",2013,2,"Helsinki",790623
"998",2014,2,"Helsinki",788986
"999",2015,2,"Helsinki",788125
"1000",2016,2,"Helsinki",868713
"1001",2017,2,"Helsinki",983130
"1002",2018,2,"Helsinki",972505
"1003",2019,2,"Helsinki",1028251
"1004",2020,2,"Helsinki",87724
"1005",2021,2,"Helsinki",274514
"1006",2022,2,"Helsinki",931642
"1007",2023,2,"Helsinki",979142
"1008",2024,2,"Helsinki",1083371
"1009",1998,3,"Helsinki",648937
"1010",1999,3,"Helsinki",683963
"1011",2000,3,"Helsinki",740440
"1012",2001,3,"Helsinki",743142
"1013",2002,3,"Helsinki",724769
"1014",2003,3,"Helsinki",742521
"1015",2004,3,"Helsinki",754010
"1016",2005,3,"Helsinki",750806
"1017",2006,3,"Helsinki",815060
"1018",2007,3,"Helsinki",883322
"1019",2008,3,"Helsinki",897804
"1020",2009,3,"Helsinki",854206
"1021",2010,3,"Helsinki",966615
"1022",2011,3,"Helsinki",1013380
"1023",2012,3,"Helsinki",997490
"1024",2013,3,"Helsinki",961481
"1025",2014,3,"Helsinki",955065
"1026",2015,3,"Helsinki",1063447
"1027",2016,3,"Helsinki",1084955
"1028",2017,3,"Helsinki",1213989
"1029",2018,3,"Helsinki",1175719
"1030",2019,3,"Helsinki",1281684
"1031",2020,3,"Helsinki",412843
"1032",2021,3,"Helsinki",749876
"1033",2022,3,"Helsinki",1237422
"1034",2023,3,"Helsinki",1268344
"1035",1998,4,"Helsinki",478337
"1036",1999,4,"Helsinki",515572
"1037",2000,4,"Helsinki",547521
"1038",2001,4,"Helsinki",513712
"1039",2002,4,"Helsinki",498406
"1040",2003,4,"Helsinki",512657
"1041",2004,4,"Helsinki",500568
"1042",2005,4,"Helsinki",552588
"1043",2006,4,"Helsinki",608263
"1044",2007,4,"Helsinki",649550
"1045",2008,4,"Helsinki",646313
"1046",2009,4,"Helsinki",643409
"1047",2010,4,"Helsinki",712098
"1048",2011,4,"Helsinki",732673
"1049",2012,4,"Helsinki",714489
"1050",2013,4,"Helsinki",701568
"1051",2014,4,"Helsinki",730544
"1052",2015,4,"Helsinki",796638
"1053",2016,4,"Helsinki",815216
"1054",2017,4,"Helsinki",942564
"1055",2018,4,"Helsinki",953710
"1056",2019,4,"Helsinki",1007216
"1057",2020,4,"Helsinki",253393
"1058",2021,4,"Helsinki",748673
"1059",2022,4,"Helsinki",929236
"1060",2023,4,"Helsinki",940882
"1061",1998,1,"Hannover",286640
"1062",1999,1,"Hannover",279984
"1063",2000,1,"Hannover",356101
"1064",2001,1,"Hannover",318529
"1065",2002,1,"Hannover",312074
"1066",2003,1,"Hannover",311265
"1067",2004,1,"Hannover",346844
"1068",2005,1,"Hannover",343239
"1069",2006,1,"Hannover",393503
"1070",2007,1,"Hannover",375991
"1071",2008,1,"Hannover",434267
"1072",2009,1,"Hannover",437581
"1073",2010,1,"Hannover",446216
"1074",2011,1,"Hannover",469555
"1075",2012,1,"Hannover",503616
"1076",2013,1,"Hannover",471947
"1077",2014,1,"Hannover",481240
"1078",2015,1,"Hannover",501028
"1079",2016,1,"Hannover",513115
"1080",2017,1,"Hannover",518662
"1081",2018,1,"Hannover",503509
"1082",2019,1,"Hannover",525476
"1083",2020,1,"Hannover",406308
"1084",2021,1,"Hannover",111693
"1085",2022,1,"Hannover",282451
"1086",2023,1,"Hannover",466102
"1087",2024,1,"Hannover",482400
"1088",1998,2,"Hannover",275822
"1089",1999,2,"Hannover",304701
"1090",2000,2,"Hannover",405353
"1091",2001,2,"Hannover",331738
"1092",2002,2,"Hannover",298132
"1093",2003,2,"Hannover",318601
"1094",2004,2,"Hannover",324890
"1095",2005,2,"Hannover",436199
"1096",2006,2,"Hannover",412414
"1097",2007,2,"Hannover",402412
"1098",2008,2,"Hannover",468504
"1099",2009,2,"Hannover",474812
"1100",2010,2,"Hannover",473466
"1101",2011,2,"Hannover",548153
"1102",2012,2,"Hannover",505437
"1103",2013,2,"Hannover",566311
"1104",2014,2,"Hannover",524889
"1105",2015,2,"Hannover",612894
"1106",2016,2,"Hannover",595771
"1107",2017,2,"Hannover",610558
"1108",2018,2,"Hannover",590186
"1109",2019,2,"Hannover",601494
"1110",2020,2,"Hannover",104290
"1111",2021,2,"Hannover",168571
"1112",2022,2,"Hannover",557472
"1113",2023,2,"Hannover",648992
"1114",2024,2,"Hannover",626472
"1115",1998,3,"Hannover",290692
"1116",1999,3,"Hannover",259270
"1117",2000,3,"Hannover",772602
"1118",2001,3,"Hannover",302870
"1119",2002,3,"Hannover",304423
"1120",2003,3,"Hannover",284253
"1121",2004,3,"Hannover",326386
"1122",2005,3,"Hannover",358982
"1123",2006,3,"Hannover",388197
"1124",2007,3,"Hannover",394756
"1125",2008,3,"Hannover",475146
"1126",2009,3,"Hannover",443459
"1127",2010,3,"Hannover",503667
"1128",2011,3,"Hannover",558142
"1129",2012,3,"Hannover",549674
"1130",2013,3,"Hannover",534534
"1131",2014,3,"Hannover",532017
"1132",2015,3,"Hannover",558331
"1133",2016,3,"Hannover",574059
"1134",2017,3,"Hannover",588755
"1135",2018,3,"Hannover",598113
"1136",2019,3,"Hannover",625380
"1137",2020,3,"Hannover",304262
"1138",2021,3,"Hannover",420159
"1139",2022,3,"Hannover",642795
"1140",2023,3,"Hannover",654741
"1141",1998,4,"Hannover",281592
"1142",1999,4,"Hannover",285728
"1143",2000,4,"Hannover",496888
"1144",2001,4,"Hannover",295245
"1145",2002,4,"Hannover",305375
"1146",2003,4,"Hannover",347135
"1147",2004,4,"Hannover",337587
"1148",2005,4,"Hannover",371024
"1149",2006,4,"Hannover",370672
"1150",2007,4,"Hannover",458792
"1151",2008,4,"Hannover",477754
"1152",2009,4,"Hannover",454441
"1153",2010,4,"Hannover",501747
"1154",2011,4,"Hannover",527223
"1155",2012,4,"Hannover",526969
"1156",2013,4,"Hannover",509032
"1157",2014,4,"Hannover",544196
"1158",2015,4,"Hannover",560029
"1159",2016,4,"Hannover",557401
"1160",2017,4,"Hannover",562040
"1161",2018,4,"Hannover",558437
"1162",2019,4,"Hannover",586408
"1163",2020,4,"Hannover",184794
"1164",2021,4,"Hannover",361615
"1165",2022,4,"Hannover",549158
"1166",2023,4,"Hannover",589519
"1167",1998,1,"Hamburg",949523
"1168",1999,1,"Hamburg",967807
"1169",2000,1,"Hamburg",1022571
"1170",2001,1,"Hamburg",1061794
"1171",2002,1,"Hamburg",1070819
"1172",2003,1,"Hamburg",1123521
"1173",2004,1,"Hamburg",1196726
"1174",2005,1,"Hamburg",1260240
"1175",2006,1,"Hamburg",1416277
"1176",2007,1,"Hamburg",1531701
"1177",2008,1,"Hamburg",1611238
"1178",2009,1,"Hamburg",1587987
"1179",2010,1,"Hamburg",1703769
"1180",2011,1,"Hamburg",1839896
"1181",2012,1,"Hamburg",2050032
"1182",2013,1,"Hamburg",2211750
"1183",2014,1,"Hamburg",2280532
"1184",2015,1,"Hamburg",2471553
"1185",2016,1,"Hamburg",2719822
"1186",2017,1,"Hamburg",2718702
"1187",2018,1,"Hamburg",2932819
"1188",2019,1,"Hamburg",2981863
"1189",2020,1,"Hamburg",2467261
"1190",2021,1,"Hamburg",478992
"1191",2022,1,"Hamburg",2049072
"1192",2023,1,"Hamburg",3159965
"1193",2024,1,"Hamburg",3323131
"1194",1998,2,"Hamburg",1211670
"1195",1999,2,"Hamburg",1235894
"1196",2000,2,"Hamburg",1301584
"1197",2001,2,"Hamburg",1304148
"1198",2002,2,"Hamburg",1397721
"1199",2003,2,"Hamburg",1472565
"1200",2004,2,"Hamburg",1598870
"1201",2005,2,"Hamburg",1685649
"1202",2006,2,"Hamburg",1902825
"1203",2007,2,"Hamburg",1970344
"1204",2008,2,"Hamburg",2042073
"1205",2009,2,"Hamburg",2160384
"1206",2010,2,"Hamburg",2379864
"1207",2011,2,"Hamburg",2617800
"1208",2012,2,"Hamburg",2841221
"1209",2013,2,"Hamburg",3128971
"1210",2014,2,"Hamburg",3244552
"1211",2015,2,"Hamburg",3377839
"1212",2016,2,"Hamburg",3465242
"1213",2017,2,"Hamburg",3776348
"1214",2018,2,"Hamburg",3861835
"1215",2019,2,"Hamburg",4187563
"1216",2020,2,"Hamburg",729382
"1217",2021,2,"Hamburg",834814
"1218",2022,2,"Hamburg",4309219
"1219",2023,2,"Hamburg",4410531
"1220",2024,2,"Hamburg",4213761
"1221",1998,3,"Hamburg",1267435
"1222",1999,3,"Hamburg",1323710
"1223",2000,3,"Hamburg",1396485
"1224",2001,3,"Hamburg",1308211
"1225",2002,3,"Hamburg",1424103
"1226",2003,3,"Hamburg",1535719
"1227",2004,3,"Hamburg",1677176
"1228",2005,3,"Hamburg",1866683
"1229",2006,3,"Hamburg",2090702
"1230",2007,3,"Hamburg",2131684
"1231",2008,3,"Hamburg",2213616
"1232",2009,3,"Hamburg",2443938
"1233",2010,3,"Hamburg",2651952
"1234",2011,3,"Hamburg",2781266
"1235",2012,3,"Hamburg",3133677
"1236",2013,3,"Hamburg",3494430
"1237",2014,3,"Hamburg",3502838
"1238",2015,3,"Hamburg",3699423
"1239",2016,3,"Hamburg",3806485
"1240",2017,3,"Hamburg",3970769
"1241",2018,3,"Hamburg",4178306
"1242",2019,3,"Hamburg",4413654
"1243",2020,3,"Hamburg",2697465
"1244",2021,3,"Hamburg",3385486
"1245",2022,3,"Hamburg",4584990
"1246",2023,3,"Hamburg",4498405
"1247",1998,4,"Hamburg",1113059
"1248",1999,4,"Hamburg",1160596
"1249",2000,4,"Hamburg",1221972
"1250",2001,4,"Hamburg",1137287
"1251",2002,4,"Hamburg",1256531
"1252",2003,4,"Hamburg",1313154
"1253",2004,4,"Hamburg",1472447
"1254",2005,4,"Hamburg",1622534
"1255",2006,4,"Hamburg",1767523
"1256",2007,4,"Hamburg",1768694
"1257",2008,4,"Hamburg",1860694
"1258",2009,4,"Hamburg",1997836
"1259",2010,4,"Hamburg",2211050
"1260",2011,4,"Hamburg",2290333
"1261",2012,4,"Hamburg",2609082
"1262",2013,4,"Hamburg",2767984
"1263",2014,4,"Hamburg",2980232
"1264",2015,4,"Hamburg",3090480
"1265",2016,4,"Hamburg",3339452
"1266",2017,4,"Hamburg",3356518
"1267",2018,4,"Hamburg",3556589
"1268",2019,4,"Hamburg",3844326
"1269",2020,4,"Hamburg",984505
"1270",2021,4,"Hamburg",2859908
"1271",2022,4,"Hamburg",3767549
"1272",2023,4,"Hamburg",3873679
"1273",1998,1,"Essen",204797
"1274",1999,1,"Essen",196380
"1275",2000,1,"Essen",213332
"1276",2001,1,"Essen",232504
"1277",2002,1,"Essen",233479
"1278",2003,1,"Essen",219779
"1279",2004,1,"Essen",226674
"1280",2005,1,"Essen",226398
"1281",2006,1,"Essen",223760
"1282",2007,1,"Essen",243466
"1283",2008,1,"Essen",256963
"1284",2009,1,"Essen",250940
"1285",2010,1,"Essen",260055
"1286",2011,1,"Essen",311505
"1287",2012,1,"Essen",326982
"1288",2013,1,"Essen",312559
"1289",2014,1,"Essen",343602
"1290",2015,1,"Essen",331532
"1291",2016,1,"Essen",305232
"1292",2017,1,"Essen",335870
"1293",2018,1,"Essen",363120
"1294",2019,1,"Essen",381026
"1295",2020,1,"Essen",291476
"1296",2021,1,"Essen",90996
"1297",2022,1,"Essen",213977
"1298",2023,1,"Essen",357995
"1299",2024,1,"Essen",377084
"1300",1998,2,"Essen",195871
"1301",1999,2,"Essen",208870
"1302",2000,2,"Essen",253003
"1303",2001,2,"Essen",239097
"1304",2002,2,"Essen",250475
"1305",2003,2,"Essen",233185
"1306",2004,2,"Essen",259748
"1307",2005,2,"Essen",251885
"1308",2006,2,"Essen",269645
"1309",2007,2,"Essen",243792
"1310",2008,2,"Essen",293186
"1311",2009,2,"Essen",272921
"1312",2010,2,"Essen",362796
"1313",2011,2,"Essen",340562
"1314",2012,2,"Essen",365562
"1315",2013,2,"Essen",341988
"1316",2014,2,"Essen",356771
"1317",2015,2,"Essen",347644
"1318",2016,2,"Essen",363560
"1319",2017,2,"Essen",369498
"1320",2018,2,"Essen",394317
"1321",2019,2,"Essen",418913
"1322",2020,2,"Essen",98807
"1323",2021,2,"Essen",129013
"1324",2022,2,"Essen",393011
"1325",2023,2,"Essen",477871
"1326",2024,2,"Essen",511374
"1327",1998,3,"Essen",193634
"1328",1999,3,"Essen",197073
"1329",2000,3,"Essen",215045
"1330",2001,3,"Essen",231306
"1331",2002,3,"Essen",228133
"1332",2003,3,"Essen",196938
"1333",2004,3,"Essen",222236
"1334",2005,3,"Essen",236885
"1335",2006,3,"Essen",236629
"1336",2007,3,"Essen",243815
"1337",2008,3,"Essen",250680
"1338",2009,3,"Essen",266099
"1339",2010,3,"Essen",370892
"1340",2011,3,"Essen",312453
"1341",2012,3,"Essen",338685
"1342",2013,3,"Essen",341438
"1343",2014,3,"Essen",337345
"1344",2015,3,"Essen",351038
"1345",2016,3,"Essen",335863
"1346",2017,3,"Essen",367723
"1347",2018,3,"Essen",409105
"1348",2019,3,"Essen",406599
"1349",2020,3,"Essen",225543
"1350",2021,3,"Essen",280537
"1351",2022,3,"Essen",452211
"1352",2023,3,"Essen",455662
"1353",1998,4,"Essen",211619
"1354",1999,4,"Essen",224933
"1355",2000,4,"Essen",229173
"1356",2001,4,"Essen",255322
"1357",2002,4,"Essen",252624
"1358",2003,4,"Essen",241601
"1359",2004,4,"Essen",261718
"1360",2005,4,"Essen",251067
"1361",2006,4,"Essen",259027
"1362",2007,4,"Essen",276587
"1363",2008,4,"Essen",277470
"1364",2009,4,"Essen",277865
"1365",2010,4,"Essen",363994
"1366",2011,4,"Essen",337991
"1367",2012,4,"Essen",344936
"1368",2013,4,"Essen",390481
"1369",2014,4,"Essen",371487
"1370",2015,4,"Essen",378665
"1371",2016,4,"Essen",379279
"1372",2017,4,"Essen",407013
"1373",2018,4,"Essen",435480
"1374",2019,4,"Essen",459279
"1375",2020,4,"Essen",116936
"1376",2021,4,"Essen",291223
"1377",2022,4,"Essen",427967
"1378",2023,4,"Essen",468569
"1379",1998,1,"Düsseldorf",592767
"1380",1999,1,"Düsseldorf",616899
"1381",2000,1,"Düsseldorf",598160
"1382",2001,1,"Düsseldorf",626291
"1383",2002,1,"Düsseldorf",659679
"1384",2003,1,"Düsseldorf",601517
"1385",2004,1,"Düsseldorf",635565
"1386",2005,1,"Düsseldorf",659105
"1387",2006,1,"Düsseldorf",710595
"1388",2007,1,"Düsseldorf",743118
"1389",2008,1,"Düsseldorf",845213
"1390",2009,1,"Düsseldorf",809472
"1391",2010,1,"Düsseldorf",871709
"1392",2011,1,"Düsseldorf",971309
"1393",2012,1,"Düsseldorf",1008204
"1394",2013,1,"Düsseldorf",1003539
"1395",2014,1,"Düsseldorf",1073608
"1396",2015,1,"Düsseldorf",1061763
"1397",2016,1,"Düsseldorf",1028551
"1398",2017,1,"Düsseldorf",1155243
"1399",2018,1,"Düsseldorf",1174819
"1400",2019,1,"Düsseldorf",1209751
"1401",2020,1,"Düsseldorf",925669
"1402",2021,1,"Düsseldorf",163127
"1403",2022,1,"Düsseldorf",524863
"1404",2023,1,"Düsseldorf",1151174
"1405",2024,1,"Düsseldorf",1219017
"1406",1998,2,"Düsseldorf",553319
"1407",1999,2,"Düsseldorf",565885
"1408",2000,2,"Düsseldorf",655004
"1409",2001,2,"Düsseldorf",533527
"1410",2002,2,"Düsseldorf",607791
"1411",2003,2,"Düsseldorf",519593
"1412",2004,2,"Düsseldorf",627263
"1413",2005,2,"Düsseldorf",637046
"1414",2006,2,"Düsseldorf",719142
"1415",2007,2,"Düsseldorf",670718
"1416",2008,2,"Düsseldorf",881243
"1417",2009,2,"Düsseldorf",707743
"1418",2010,2,"Düsseldorf",795262
"1419",2011,2,"Düsseldorf",931655
"1420",2012,2,"Düsseldorf",1007047
"1421",2013,2,"Düsseldorf",987595
"1422",2014,2,"Düsseldorf",1124796
"1423",2015,2,"Düsseldorf",1073494
"1424",2016,2,"Düsseldorf",1180094
"1425",2017,2,"Düsseldorf",1194272
"1426",2018,2,"Düsseldorf",1194000
"1427",2019,2,"Düsseldorf",1219729
"1428",2020,2,"Düsseldorf",147239
"1429",2021,2,"Düsseldorf",244835
"1430",2022,2,"Düsseldorf",1184132
"1431",2023,2,"Düsseldorf",1402228
"1432",2024,2,"Düsseldorf",1469804
"1433",1998,3,"Düsseldorf",578700
"1434",1999,3,"Düsseldorf",530433
"1435",2000,3,"Düsseldorf",592127
"1436",2001,3,"Düsseldorf",608752
"1437",2002,3,"Düsseldorf",581649
"1438",2003,3,"Düsseldorf",548769
"1439",2004,3,"Düsseldorf",597670
"1440",2005,3,"Düsseldorf",678958
"1441",2006,3,"Düsseldorf",737189
"1442",2007,3,"Düsseldorf",763761
"1443",2008,3,"Düsseldorf",798065
"1444",2009,3,"Düsseldorf",795130
"1445",2010,3,"Düsseldorf",916011
"1446",2011,3,"Düsseldorf",940190
"1447",2012,3,"Düsseldorf",991587
"1448",2013,3,"Düsseldorf",1094678
"1449",2014,3,"Düsseldorf",1132873
"1450",2015,3,"Düsseldorf",1119889
"1451",2016,3,"Düsseldorf",1180259
"1452",2017,3,"Düsseldorf",1234147
"1453",2018,3,"Düsseldorf",1304739
"1454",2019,3,"Düsseldorf",1248576
"1455",2020,3,"Düsseldorf",515758
"1456",2021,3,"Düsseldorf",730255
"1457",2022,3,"Düsseldorf",1261594
"1458",2023,3,"Düsseldorf",1406986
"1459",1998,4,"Düsseldorf",589655
"1460",1999,4,"Düsseldorf",579936
"1461",2000,4,"Düsseldorf",578552
"1462",2001,4,"Düsseldorf",620447
"1463",2002,4,"Düsseldorf",610496
"1464",2003,4,"Düsseldorf",626249
"1465",2004,4,"Düsseldorf",673471
"1466",2005,4,"Düsseldorf",712653
"1467",2006,4,"Düsseldorf",735424
"1468",2007,4,"Düsseldorf",868012
"1469",2008,4,"Düsseldorf",835825
"1470",2009,4,"Düsseldorf",907614
"1471",2010,4,"Düsseldorf",1004606
"1472",2011,4,"Düsseldorf",1000249
"1473",2012,4,"Düsseldorf",1048762
"1474",2013,4,"Düsseldorf",1158921
"1475",2014,4,"Düsseldorf",1161274
"1476",2015,4,"Düsseldorf",1148814
"1477",2016,4,"Düsseldorf",1215771
"1478",2017,4,"Düsseldorf",1233917
"1479",2018,4,"Düsseldorf",1314534
"1480",2019,4,"Düsseldorf",1323298
"1481",2020,4,"Düsseldorf",237087
"1482",2021,4,"Düsseldorf",803851
"1483",2022,4,"Düsseldorf",1297331
"1484",2023,4,"Düsseldorf",1452137
"1485",1998,1,"Duisburg",62342
"1486",1999,1,"Duisburg",73463
"1487",2000,1,"Duisburg",68498
"1488",2001,1,"Duisburg",74380
"1489",2002,1,"Duisburg",75079
"1490",2003,1,"Duisburg",68382
"1491",2004,1,"Duisburg",74191
"1492",2005,1,"Duisburg",71720
"1493",2006,1,"Duisburg",71885
"1494",2007,1,"Duisburg",74390
"1495",2008,1,"Duisburg",83571
"1496",2009,1,"Duisburg",73767
"1497",2010,1,"Duisburg",86603
"1498",2011,1,"Duisburg",79288
"1499",2012,1,"Duisburg",83839
"1500",2013,1,"Duisburg",89523
"1501",2014,1,"Duisburg",96561
"1502",2015,1,"Duisburg",95540
"1503",2016,1,"Duisburg",106106
"1504",2017,1,"Duisburg",112322
"1505",2018,1,"Duisburg",131186
"1506",2019,1,"Duisburg",121150
"1507",2020,1,"Duisburg",101836
"1508",2021,1,"Duisburg",33064
